S000003646	S000000253	2.13E-01
S000001526	S000000386	2.13E-01
S000006010	S000002530	2.12E-01
S000003646	S000000444	2.12E-01
S000002871	S000000444	2.12E-01
S000005996	S000001393	2.12E-01
S000001595	S000001515	2.12E-01
S000001503	S000001457	2.12E-01
S000003646	S000002831	2.11E-01
S000005639	S000000735	2.11E-01
S000002981	S000000444	2.10E-01
S000001457	S000001298	2.10E-01
S000001526	S000001001	2.10E-01
S000005639	S000005012	2.10E-01
S000004640	S000002871	2.10E-01
S000004121	S000004088	2.10E-01
S000006010	S000001001	2.10E-01
S000004645	S000001526	2.10E-01
S000006010	S000005143	2.10E-01
S000004172	S000001012	2.10E-01
S000005468	S000002859	2.09E-01
S000002928	S000002206	2.09E-01
S000004443	S000001873	2.09E-01
S000006308	S000001221	2.09E-01
S000001462	S000002553	2.09E-01
S000005047	S000004003	2.09E-01
S000004088	S000001462	2.09E-01
S000006010	S000004443	2.08E-01
S000005468	S000002831	2.08E-01
S000005258	S000001298	2.08E-01YLR256W
S000005012	S000002214	2.08E-01
S000005258	S000001498	2.08E-01
S000005258	S000005111	2.08E-01
S000004674	S000004003	2.07E-01
S000003039	S000002450	2.07E-01
S000006010	S000000444	2.07E-01
S000001393	S000001126	2.07E-01
S000005012	S000002829	2.07E-01
S000001498	S000003625	2.07E-01
S000005468	S000004646	2.07E-01
S000005899	S000004515	2.07E-01
S000002829	S000002553	2.06E-01
S000005899	S000005047	2.06E-01
S000004623	S000002871	2.06E-01
S000006169	S000002871	2.06E-01
S000004088	S000001521	2.06E-01
S000006010	S000001126	2.06E-01
S000005899	S000002553	2.06E-01
S000005468	S000001001	2.06E-01
S000005639	S000003041	2.06E-01
S000004515	S000001498	2.06E-01
S000005959	S000005143	2.06E-01
S000002831	S000002530	2.05E-01
S000003625	S000002829	2.05E-01
S000001545	S000001249	2.05E-01
S000006403	S000000444	2.05E-01
S000004088	S000003646	2.05E-01
S000006308	S000005899	2.04E-01
S000005959	S000004443	2.04E-01
S000003625	S000001393	2.04E-01
S000005111	S000004088	2.04E-01
S000004088	S000003039	2.04E-01
S000003039	S000000253	2.03E-01
S000004646	S000001393	2.03E-01
S000001545	S000001019	2.03E-01
S000004640	S000001393	2.03E-01
S000005388	S000000253	2.03E-01
S000004674	S000004395	2.03E-01
S000000963	S000002667	2.03E-01
S000002981	S000002871	2.02E-01
S000003625	S000003003	2.02E-01
S000002553	S000000287	2.02E-01
S000001012	S000000101	2.02E-01
S000006269	S000004121	2.02E-01
S000006010	S000002859	2.02E-01
S000004618	S000001249	2.02E-01
S000004246	S000003625	2.02E-01
S000005899	S000000386	2.01E-01
S000004645	S000001457	2.01E-01
S000003041	S000002859	2.01E-01
S000001595	S000001393	2.01E-01YLR182W
S000005959	S000004640	2.01E-01
S000004640	S000004172	2.01E-01
S000001503	S000001393	2.01E-01
S000005258	S000002981	2.01E-01
S000005143	S000000253	2.01E-01
S000004489	S000003130	2.01E-01
S000005012	S000001595	2.00E-01
S000006123	S000003625	2.00E-01
S000001457	S000002530	2.00E-01
