S000000370	TYR1	YBR166C
S000000371	POP7	YBR167C
S000000372	PEX32	YBR168W
S000000373	SSE2	YBR169C
S000000374	NPL4	YBR170C
S000000375	SEC66	YBR171W
S000000376	SMY2	YBR172C
S000000377	UMP1	YBR173C
S000000378		YBR174C
S000000379	SWD3	YBR175W
S000000380	ECM31	YBR176W
S000000381	EHT1	YBR177C
S000000382		YBR178W
S000000383	FZO1	YBR179C
S000000384	DTR1	YBR180W
S000000385	RPS6B	YBR181C
S000000386	SMP1	YBR182C
S000000387	YPC1	YBR183W
S000000388		YBR184W
S000000389	MBA1	YBR185C
S000000390	PCH2	YBR186W
S000000391	GDT1	YBR187W
S000000392	NTC20	YBR188C
S000000393	RPS9B	YBR189W
S000000394		YBR190W
S000000395	RPL21A	YBR191W
S000000396	RIM2	YBR192W
S000000397	MED8	YBR193C
S000000398	AIM4	YBR194W
S000000399	MSI1	YBR195C
S000000400	PGI1	YBR196C
S000000401		YBR197C
S000000402	TAF5	YBR198C
S000000403	KTR4	YBR199W
S000000404	BEM1	YBR200W
S000000405	DER1	YBR201W
S000000406	MCM7	YBR202W
S000000407	COS111	YBR203W
S000000408	LDH1	YBR204C
S000000409	KTR3	YBR205W
S000000410		YBR206W
S000000411	FTH1	YBR207W
S000000412	DUR1,2	YBR208C
S000000413		YBR209W
S000000414	ERV15	YBR210W
S000000415	AME1	YBR211C
S000000416	NGR1	YBR212W
S000000417	MET8	YBR213W
S000000418	SDS24	YBR214W
S000000419	HPC2	YBR215W
S000000420	YBP1	YBR216C
S000000421	ATG12	YBR217W
S000000422	PYC2	YBR218C
S000000423		YBR219C
S000000424		YBR220C
S000000425	PDB1	YBR221C
S000000426	PCS60	YBR222C
S000000427	TDP1	YBR223C
S000000428		YBR224W
S000000429		YBR225W
S000000430		YBR226C
S000000431	MCX1	YBR227C
S000000432	SLX1	YBR228W
S000000433	ROT2	YBR229C
S000000434	OM14	YBR230C
S000000435	SWC5	YBR231C
S000000436		YBR232C
S000000437	PBP2	YBR233W
S000000438	ARC40	YBR234C
S000000439	VHC1	YBR235W
S000000440	ABD1	YBR236C
S000000441	PRP5	YBR237W
S000000442		YBR238C
S000000443	ERT1	YBR239C
S000000444	THI2	YBR240C
S000000445		YBR241C
S000000446		YBR242W
S000000447	ALG7	YBR243C
S000000448	GPX2	YBR244W
S000000449	ISW1	YBR245C
S000000450	RRT2	YBR246W
S000000451	ENP1	YBR247C
S000000452	HIS7	YBR248C
S000000453	ARO4	YBR249C
S000000454	SPO23	YBR250W
S000000455	MRPS5	YBR251W
S000000456	DUT1	YBR252W
S000000457	SRB6	YBR253W
S000000458	TRS20	YBR254C
S000000459	MTC4	YBR255W
S000000460	RIB5	YBR256C
S000000461	POP4	YBR257W
S000000462	SHG1	YBR258C
S000000463		YBR259W
S000000464	RGD1	YBR260C
S000000465	TAE1	YBR261C
S000000466	AIM5	YBR262C
S000000467	SHM1	YBR263W
S000000468	YPT10	YBR264C
S000000469	TSC10	YBR265W
S000000470	SLM6	YBR266C
S000000471	REI1	YBR267W
S000000472	MRPL37	YBR268W
S000000473	FMP21	YBR269C
S000000474	BIT2	YBR270C
S000000475	EFM2	YBR271W
S000000476	HSM3	YBR272C
S000000477	UBX7	YBR273C
S000000478	CHK1	YBR274W
S000000479	RIF1	YBR275C
S000000480	PPS1	YBR276C
S000000481		YBR277C
S000000482	DPB3	YBR278W
S000000483	PAF1	YBR279W
S000000484	SAF1	YBR280C
S000000485	DUG2	YBR281C
S000000486	MRPL27	YBR282W
S000000487	SSH1	YBR283C
S000000488		YBR284W
S000000489		YBR285W
S000000490	APE3	YBR286W
S000000491		YBR287W
S000000492	APM3	YBR288C
S000000493	SNF5	YBR289W
S000000494	BSD2	YBR290W
S000000495	CTP1	YBR291C
S000000496		YBR292C
S000000497	VBA2	YBR293W
S000000498	SUL1	YBR294W
S000000499	PCA1	YBR295W
S000000500	PHO89	YBR296C
S000000501	MAL33	YBR297W
S000000502	MAL31	YBR298C
S000000503	MAL32	YBR299W
S000000504		YBR300C
S000000505	PAU24	YBR301W
S000000506	COS2	YBR302C
S000000507	RER1	YCL001W
S000000508		YCL002C
S000000509		YCL003W
S000000510	PGS1	YCL004W
S000000511	LDB16	YCL005W
S000000512		YCL006C
S000000513		YCL007C
S000000514	STP22	YCL008C
S000000515	ILV6	YCL009C
S000000516	SGF29	YCL010C
S000000517	GBP2	YCL011C
S000000520	BUD3	YCL014W
S000000521	DCC1	YCL016C
S000000522	NFS1	YCL017C
S000000523	LEU2	YCL018W
S000000524		YCL019W
S000000525		YCL020W
S000000527		YCL022C
S000000528		YCL023C
S000000529	KCC4	YCL024W
S000000530	AGP1	YCL025C
S000000531		YCL026C
S000000532	FUS1	YCL027W
S000000533	RNQ1	YCL028W
S000000534	BIK1	YCL029C
S000000535	HIS4	YCL030C
S000000536	RRP7	YCL031C
S000000537	STE50	YCL032W
S000000538	MXR2	YCL033C
S000000539	LSB5	YCL034W
S000000540	GRX1	YCL035C
S000000541	GFD2	YCL036W
S000000542	SRO9	YCL037C
S000000543	ATG22	YCL038C
S000000544	GID7	YCL039W
S000000545	GLK1	YCL040W
S000000546		YCL041C
S000000547		YCL042W
S000000548	PDI1	YCL043C
S000000549	MGR1	YCL044C
S000000550	EMC1	YCL045C
S000000551		YCL046W
S000000552	POF1	YCL047C
S000000553	SPS22	YCL048W
S000000554		YCL049C
S000000555	APA1	YCL050C
S000000556	LRE1	YCL051W
S000000557	PBN1	YCL052C
S000000559	SPB1	YCL054W
S000000560	KAR4	YCL055W
S000000561	PEX34	YCL056C
S000000562	PRD1	YCL057W
S000000563	FYV5	YCL058C
S000000564	KRR1	YCL059C
S000000565		YCL060C
S000000566	MRC1	YCL061C
S000000568	VAC17	YCL063W
S000000569	CHA1	YCL064C
S000000570		YCL065W
S000000571	HMLALPHA1	YCL066W
S000000572	HMLALPHA2	YCL067C
S000000573		YCL068C
S000000574	VBA3	YCL069W
S000000575	GEX1	YCL073C
S000000579		YCL074W
S000000580		YCL075W
S000000581		YCL076W
S000000589	FRM2	YCL026C-A
S000000594		YCR001W
S000000595	CDC10	YCR002C
S000000596	MRPL32	YCR003W
S000000597	YCP4	YCR004C
S000000598	CIT2	YCR005C
S000000599		YCR006C
S000000600		YCR007C
S000000601	SAT4	YCR008W
S000000602	RVS161	YCR009C
S000000603	ADY2	YCR010C
S000000604	ADP1	YCR011C
S000000605	PGK1	YCR012W
S000000606		YCR013C
S000000607	POL4	YCR014C
S000000608		YCR015C
S000000609		YCR016W
S000000610	CWH43	YCR017C
S000000611	SRD1	YCR018C
S000000612	MAK32	YCR019W
S000000613	PET18	YCR020C
S000000614	MAK31	YCR020C-A
S000000615	HSP30	YCR021C
S000000616		YCR022C
S000000617		YCR023C
S000000618	SLM5	YCR024C
S000000619	PMP1	YCR024C-A
S000000620		YCR025C
S000000621	NPP1	YCR026C
S000000622	RHB1	YCR027C
S000000623	FEN2	YCR028C
S000000624		YCR029C
S000000625		YCR029C-A
S000000626	SYP1	YCR030C
S000000627	RPS14A	YCR031C
S000000628	BPH1	YCR032W
S000000629	SNT1	YCR033W
S000000630	FEN1	YCR034W
S000000631	RRP43	YCR035C
S000000632	RBK1	YCR036W
S000000633	PHO87	YCR037C
S000000634	BUD5	YCR038C
S000000635	MATALPHA2	YCR039C
